ORIGIN_AIRPORT,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,CLUSTER,total_flights,avg_arrival_delay,avg_departure_delay,pct_delayed_15,cancellation_rate,avg_taxi_out,avg_distance,weather_delay_rate,airline_delay_rate,late_ac_delay_rate,system_delay_rate,PC1,PC2
ABE,Lehigh Valley International Airport,Allentown,PA,40.65236,-75.4404,1,2227,6.2496634,8.687023,17.198025,1.7150395778364116,13.422542,597.70636,1.2895024,30.784597,40.36324,27.56266,0.7622265210534671,0.19415005796136173
ABI,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819,0,2231,3.2720754,5.747647,15.329449,4.164877629884071,9.188256,158.0,19.344448,34.05412,29.29049,17.125715,-0.6674210384933412,-0.4775499038179343
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919,1,18918,4.768263,8.798552,17.295698,1.1046269278866194,11.980706,706.42487,4.4881005,29.843483,47.33577,18.192001,-0.05056971647896289,-0.017304187347295434
ABR,Aberdeen Regional Airport,Aberdeen,SD,45.44906,-98.42183,1,663,9.909502,10.101056,17.3454,1.1922503725782414,16.600302,257.0,3.9318204,50.79996,29.22723,15.769111,1.871615789305595,1.579499498761705
ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447,1,866,7.58776,8.756351,17.321016,1.0273972602739725,12.086605,145.0,0.0,46.631107,42.02695,11.341943,0.2756037243909248,0.34228114072751537
ACT,Waco Regional Airport,Waco,TX,31.61129,-97.23052,0,1538,4.6586475,7.2613783,16.905071,4.528535980148883,8.962289,89.0,0.5530339,20.19617,69.78661,9.385924,-1.6443548319733134,-3.4382054354928906
ACV,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862,0,1268,7.8414826,11.964511,22.397476,3.8636363636363633,12.160094,250.0,0.06721473,12.982782,61.728973,25.221031,1.127278920488511,-3.4198658171306286
ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717,1,3527,8.734902,9.964843,21.661469,1.1198208286674132,11.554296,813.56335,3.2971904,23.513645,37.03092,36.10988,1.9573925171308255,-0.4253311138584958
AEX,Alexandria International Airport,Alexandria,LA,31.32737,-92.54856,1,3054,8.943353,9.129993,19.024231,2.733630006357279,12.882449,342.2266,5.432417,38.066895,36.316795,19.948473,1.3572639582410595,-0.24111446724872287
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,33.36996,-81.9645,1,2345,8.452452,8.495096,19.402985,0.6353240152477764,16.431557,143.22815,0.038334202,38.01359,39.07301,22.875065,1.3397808066561103,0.49513859038536734
ALB,Albany International Airport,Albany,NY,42.74812,-73.80298,2,7322,-1.8672494,6.7156515,13.220431,1.581981498860437,13.636028,745.4089,6.002645,36.110325,37.339817,20.400806,-1.0961814557273473,1.733636020045718
ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034,0,581,1.1531842,5.554217,17.039587,5.6726094003241485,13.969019,234.0,7.175891,22.303446,39.0273,31.015963,-0.09813985097045916,-1.1371523582610372
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593,1,4074,6.416053,7.0837016,17.574865,3.179876601803512,11.718458,402.1539,4.5633698,28.705341,41.208805,25.358444,0.3558472704855038,-0.7961818553437299
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.17432,-149.99619,2,15818,-0.382286,3.3236187,11.834619,0.77475788815995,12.942976,1401.6705,3.0503144,42.363403,39.87028,14.695361,-1.5713273331799826,2.8576795262103536
APN,Alpena County Regional Airport,Alpena,MI,45.07807,-83.56029,0,546,1.7710623,4.9835167,13.553114,4.537521815008725,12.681318,198.0,3.6833603,12.229403,76.28433,7.5605817,-2.73179170005333,-3.061703352520133
ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885,1,3263,15.492492,17.39473,28.899786,7.748455923638406,15.246093,634.37146,7.3646507,22.59625,49.208023,20.207483,5.037357286416739,-3.835352830993676
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,1,343506,3.0467737,9.290225,15.811951,0.7372360423946764,17.403109,640.19385,9.769827,37.621708,32.79805,19.76884,0.6699333958394077,1.976932972502669
ATW,Appleton International Airport,Appleton,WI,44.25741,-88.51948,1,2759,5.6542225,5.58137,17.868793,2.914325842696629,15.471548,287.4846,5.5245132,20.999462,37.749786,35.72624,0.6752305984040098,-0.5224302519379902
AUS,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66987,1,41392,5.0140367,10.111109,16.638481,1.3739986212470583,12.568467,824.11035,4.497604,27.387884,47.84917,20.199432,0.22923889873734513,-0.038183976117698325
AVL,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181,1,2673,6.087542,9.178825,16.498316,2.2222222222222223,16.75795,284.3412,6.5227666,26.463118,39.1425,27.871613,0.9455662412001189,0.006382170511952189
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72427,1,1326,6.5060334,8.891402,17.19457,2.060338484179544,14.411011,548.7157,3.626943,39.28037,31.727114,25.365574,1.2506213940384918,0.9732069221772451
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206,0,1743,0.7314974,3.4870913,16.465864,5.528455284552845,14.49455,144.16982,6.1530085,25.935204,40.304928,27.3945,-0.6149406206550021,-0.8708297914739205
